issue,mean_absolute_error_tilt
clipping,10.46752427184466
"clipping, shading",13.0
shading,11.245000000000001
"shading, clipping",5.6881818181818184
snow,10.103333333333333
soiling,2.49
"soiling, clipping",3.4036363636363633
